year,quarter,Aviation Turbine Fuel,Aviation Gasoline
1987,September,677.1,0
1987,December,688,0
1988,March,713.4,0
1988,June,709.7,0
1988,September,753.8,0
1988,December,754.3,0
1989,March,741,0
1989,June,732,0
1989,September,677,0
1989,December,651,0
1990,March,732,0
1990,June,783,0
1990,September,783,0
1990,December,841,0
1991,March,792,0
1991,June,813,0
1991,September,882,0
1991,December,884,0
1992,March,846.1,0
1992,June,847,0
1992,September,903.8,0
1992,December,954.4,0
1993,March,916.5,0
1993,June,909.9,0
1993,September,945.6,0
1993,December,953.1,25
1994,March,945.4,24.5
1994,June,979,27
1994,September,1039.7,26.3
1994,December,1079.7,25.8
1995,March,1057.4,24.7
1995,June,1125.0,27.7
1995,September,1153.5,25.3
1995,December,1180.0,26.4
1996,March,1163.5,24
1996,June,1167.9,25.9
1996,September,1235.2,25.5
1996,December,1234.3,26.3
1997,March,1200.5,23.4
1997,June,1177.8,27.1
1997,September,1258.2,26.8
1997,December,1249.5,27.7
1998,March,1167.6,24.3
1998,June,1187.7,25.3
1998,September,1238.4,28.1
1998,December,1224.1,27.1
1999,March,1159.4,24.6
1999,June,1171.9,26.1
1999,September,1232.4,26.4
1999,December,1304.7,26.3
2000,March,1219.6,24.3
2000,June,1263.7,27.9
2000,September,1361.4,26.9
2000,December,1357.7,24.6
2001,March,1287.0,24.3
2001,June,1312.5,25.5
2001,September,1250.2,25.5
2001,December,1161.8,24.8
2002,March,1113.2,21.9
2002,June,1077.5,24.5
2002,September,1107.4,24.1
2002,December,1144.7,22.9
2003,March,1123.8,23.4
2003,June,955.9,23
2003,September,1012.1,23.1
2003,December,1130.5,22.2
2004,March,1067.6,21.3
2004,June,1118.4,23.4
2004,September,1176.1,23.2
2004,December,1190.1,22.6
2005,March,1199.6,21.4
2005,June,1164.2,23.6
2005,September,1210.1,23
2005,December,1365.7,21.8
2006,March,1390.1,20.1
2006,June,1393.6,21.5
2006,September,1486.6,22.9
2006,December,1518.8,22.4
2007,March,1415.7,21
2007,June,1415.8,23.3
2007,September,1476.9,22.8
2007,December,1545.7,22.1
2008,March,1496.6,19.8
2008,June,1550.3,23.1
2008,September,1578.2,27.3
2008,December,1575.8,27.5
2009,March,1461.9,19
2009,June,1557.0,22.2
2009,September,1650.1,21.7
2009,December,1683.4,19.6
2010,March,1660.9,17.5
2010,June,1680.9,21
2010,September,1766.4,21
2010,December,1776.7,19.1
2011,March,1756,18.3
2011,June,1768.5,20.2
2011,September,1844.8,21
2011,December,1851.9,21.4
2012,March,1812.4,20.1
2012,June,1827.3,21.6
2012,September,1927.8,21.1
2012,December,1979.1,20.4
2013,March,1915.9,18.2
2013,June,1950.2,21.3
2013,September,2072.6,19.9
2013,December,2088.8,18.4
2014,March,1968.2,16.2
2014,June,2038,18.2
2014,September,2041,17.6
2014,December,2074.9,16.9
2015,March,2009.5,15.7
2015,June,2017.4,18
2015,September,2105.4,17.2
2015,December,2124.5,16
2016,March,2171.6,16.1
2016,June,2114.6,18.3
2016,September,2215.3,17.7
2016,December,2274.3,17.1
2017,March,2238.3,17.5
2017,June,2197.6,16.9
2017,September,2332.8,15.7
2017,December,2356.4,16.6
2018,March,2311.3,15.3
2018,June,2312.3,18.6
2018,September,2396,15.9
2018,December,2399.5,16.3
2019,March,2344,16.1



