,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,a,b,,TOTAL ,,,,,,,,,,
,,,,,,,,,,,,,,
,CITY-PAIR,REVENUE PASSENGERS,TOTAL RPKs,AVAILABLE SEATS,TOTAL ASKs,REV PAX LF%,A/C TRIPS,,,,,,,
1,Melbourne - Sydney,"8,037,070",#REF!,"9,647,061",#REF!,#REF!,"55,624",,,,,,,
2,Brisbane - Sydney,"4,358,325",#REF!,"5,198,446",#REF!,#REF!,"31,444",,,,,,,
3,Brisbane - Melbourne,"3,499,263",#REF!,"4,176,902",#REF!,#REF!,"24,965",,,,,,,
4,Gold Coast - Sydney,"2,538,036",#REF!,"2,917,694",#REF!,#REF!,"16,439",,,,,,,
5,Adelaide - Melbourne,"2,331,114",#REF!,"2,779,963",#REF!,#REF!,"16,732",,,,,,,
6,Gold Coast - Melbourne,"2,187,900",#REF!,"2,462,177",#REF!,#REF!,"13,408",,,,,,,
7,Melbourne - Perth,"2,030,577",#REF!,"2,428,552",#REF!,#REF!,"13,381",,,,,,,
8,Adelaide - Sydney,"1,883,796",#REF!,"2,347,664",#REF!,#REF!,"14,016",,,,,,,
9,Perth - Sydney,"1,639,356",#REF!,"1,913,213",#REF!,#REF!,"10,097",,,,,,,
10,Hobart - Melbourne,"1,373,110",#REF!,"1,654,149",#REF!,#REF!,"9,813",,,,,,,
11,Brisbane - Cairns,"1,305,477",#REF!,"1,520,350",#REF!,#REF!,"10,547",,,,,,,
12,Brisbane - Perth,"1,090,947",#REF!,"1,286,956",#REF!,#REF!,"7,434",,,,,,,
13,Canberra - Melbourne,"1,009,351",#REF!,"1,348,116",#REF!,#REF!,"9,023",,,,,,,
14,Brisbane - Townsville,"940,794",#REF!,"1,141,931",#REF!,#REF!,"8,727",,,,,,,
15,Cairns - Sydney,"919,237",#REF!,"1,066,884",#REF!,#REF!,"5,641",,,,,,,
16,Adelaide - Brisbane,"875,326",#REF!,"1,077,065",#REF!,#REF!,"8,246",,,,,,,
17,Launceston - Melbourne,"855,992",#REF!,"1,053,840",#REF!,#REF!,"8,117",,,,,,,
18,Cairns - Melbourne,"824,781",#REF!,"944,270",#REF!,#REF!,"4,883",,,,,,,
19,Hobart - Sydney,"804,765",#REF!,"989,232",#REF!,#REF!,"5,700",,,,,,,
20,Sunshine Coast - Sydney,"777,769",#REF!,"921,902",#REF!,#REF!,"5,138",,,,,,,
21,Brisbane - Mackay,"761,293",#REF!,"945,822",#REF!,#REF!,"7,533",,,,,,,
22,Melbourne - Sunshine Coast,"742,623",#REF!,"850,347",#REF!,#REF!,"4,594",,,,,,,
23,Adelaide - Perth,"697,766",#REF!,"854,257",#REF!,#REF!,"4,843",,,,,,,
24,Canberra - Sydney,"639,541",#REF!,"1,011,753",#REF!,#REF!,"14,739",,,,,,,
25,Brisbane - Canberra,"638,259",#REF!,"837,658",#REF!,#REF!,"6,742",,,,,,,
26,Karratha - Perth,"608,586",#REF!,"885,415",#REF!,#REF!,"5,329",,,,,,,
27,Brisbane - Rockhampton,"585,008",#REF!,"739,391",#REF!,#REF!,"8,137",,,,,,,
28,Ballina - Sydney,"523,183",#REF!,"611,408",#REF!,#REF!,"4,150",,,,,,,
29,Brisbane - Newcastle,"512,511",#REF!,"622,521",#REF!,#REF!,"5,352",,,,,,,
30,Perth - Port Hedland,"475,259",#REF!,"744,439",#REF!,#REF!,"4,609",,,,,,,
31,Melbourne - Newcastle,"457,301",#REF!,"554,353",#REF!,#REF!,"3,599",,,,,,,
32,Newman - Perth,"396,746",#REF!,"652,880",#REF!,#REF!,"4,052",,,,,,,
33,Kalgoorlie - Perth,"366,931",#REF!,"654,498",#REF!,#REF!,"4,425",,,,,,,
34,Broome - Perth,"355,110",#REF!,"466,379",#REF!,#REF!,"3,065",,,,,,,
35,Launceston - Sydney,"339,668",#REF!,"399,059",#REF!,#REF!,"2,461",,,,,,,
36,Brisbane - Darwin,"327,251",#REF!,"377,301",#REF!,#REF!,"2,697",,,,,,,
37,Brisbane - Hobart,"307,032",#REF!,"356,766",#REF!,#REF!,"2,232",,,,,,,
38,Darwin - Melbourne,"289,261",#REF!,"342,476",#REF!,#REF!,"1,992",,,,,,,
39,Adelaide - Gold Coast,"279,844",#REF!,"313,578",#REF!,#REF!,"1,601",,,,,,,
40,Brisbane - Proserpine,"277,914",#REF!,"321,130",#REF!,#REF!,"2,014",,,,,,,
41,Hamilton Island - Sydney,"246,927",#REF!,"317,349",#REF!,#REF!,"1,798",,,,,,,
42,Brisbane - Gladstone,"224,428",#REF!,"332,466",#REF!,#REF!,"3,912",,,,,,,
43,Coffs Harbour - Sydney,"208,103",#REF!,"271,215",#REF!,#REF!,"4,730",,,,,,,
44,Brisbane - Emerald,"187,072",#REF!,"288,563",#REF!,#REF!,"4,009",,,,,,,
45,Adelaide - Canberra,"186,144",#REF!,"261,189",#REF!,#REF!,"2,398",,,,,,,
46,Canberra - Gold Coast,"182,538",#REF!,"209,931",#REF!,#REF!,"1,172",,,,,,,
47,Darwin - Perth,"182,512",#REF!,"247,096",#REF!,#REF!,"1,437",,,,,,,
48,Dubbo - Sydney,"172,962",#REF!,"280,922",#REF!,#REF!,"5,307",,,,,,,
49,Adelaide - Port Lincoln,"169,504",#REF!,"270,381",#REF!,#REF!,"6,582",,,,,,,
50,Port Macquarie - Sydney,"165,777",#REF!,"239,858",#REF!,#REF!,"4,022",,,,,,,
51,Brisbane - Hamilton Island,"162,260",#REF!,"212,521",#REF!,#REF!,"1,503",,,,,,,
52,Albury - Sydney,"161,310",#REF!,"231,235",#REF!,#REF!,"4,229",,,,,,,
53,Sydney - Wagga Wagga,"159,909",#REF!,"252,284",#REF!,#REF!,"4,509",,,,,,,
54,Melbourne - Mildura,"159,737",#REF!,"216,320",#REF!,#REF!,"4,813",,,,,,,
55,Brisbane - Launceston,"152,482",#REF!,"177,788",#REF!,#REF!,"1,039",,,,,,,
56,Brisbane - Mount Isa,"147,947",#REF!,"232,438",#REF!,#REF!,"2,184",,,,,,,
57,Brisbane - Bundaberg,"140,923",#REF!,"218,562",#REF!,#REF!,"3,544",,,,,,,
58,Devonport - Melbourne,"124,602",#REF!,"171,623",#REF!,#REF!,"3,739",,,,,,,
59,Geraldton - Perth,"113,284",#REF!,"225,161",#REF!,#REF!,"2,471",,,,,,,
60,Brisbane - Moranbah,"112,089",#REF!,"199,456",#REF!,#REF!,"2,658",,,,,,,
61,Adelaide - Alice Springs,"107,367",#REF!,"160,591",#REF!,#REF!,"1,897",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Total top routes,"52,331,950",#REF!,"64,434,747",#REF!,#REF!,"441,494",,,,,,,
,,,,,,,,,,,,,,
,All Others,"6,960,818",#REF!,"10,081,772",#REF!,#REF!,"173,309",,,,,,,
,Total Domestic Network,"59,292,768",#REF!,"74,516,519",#REF!,#REF!,"614,803",,,,,,,
(a),Individual routes shown are restricted to those exceeding 8 000 passengers per month where two or more airlines operate in competition. ,,,,,,,,,,,,,
,"However, from November 2021 the major airlines (Qantas Group, Virgin Australia and Rex Airlines) have agreed to publication of the top 35 routes ",,,,,,,,,,,,,
,based on pre-COVID activity (December 2019) whether or not they currently meet the above criteria. ,,,,,,,,,,,,,
(b),"Total revenue passengers travelling over Australian flight stages on Australian-registered airlines, including",,,,,,,,,,,,,
,passengers carried between domestic airports on international flights.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
