year,quarter,Aviation Turbine Fuel,Aviation Gasoline,,(Units: Megalitres)
1987,September,677.1,na,,
1987,December,688,na,,
1988,March,713.4,na,,
1988,June,709.7,na,,
1988,September,753.8,na,,
1988,December,754.3,na,,
1989,March,741,na,,
1989,June,732,na,,
1989,September,677,na,,
1989,December,651,na,,
1990,March,732,na,,
1990,June,783,na,,
1990,September,783,na,,
1990,December,841,na,,
1991,March,792,na,,
1991,June,813,na,,
1991,September,882,na,,
1991,December,884,na,,
1992,March,846.1,na,,
1992,June,847,na,,
1992,September,903.8,na,,
1992,December,954.4,na,,
1993,March,916.5,na,,
1993,June,909.9,na,,
1993,September,945.6,na,,
1993,December,953.1,25,,
1994,March,945.4,24.5,,
1994,June,979,27,,
1994,September,1 039.7,26.3,,
1994,December,1 079.7,25.8,,
1995,March,1 057.4,24.7,,
1995,June,1 125.0,27.7,,
1995,September,1 153.5,25.3,,
1995,December,1 180.0,26.4,,
1996,March,1 163.5,24,,
1996,June,1 167.9,25.9,,
1996,September,1 235.2,25.5,,
1996,December,1 234.3,26.3,,
1997,March,1 200.5,23.4,,
1997,June,1 177.8,27.1,,
1997,September,1 258.2,26.8,,
1997,December,1 249.5,27.7,,
1998,March,1 167.6,24.3,,
1998,June,1 187.7,25.3,,
1998,September,1 238.4,28.1,,
1998,December,1 224.1,27.1,,
1999,March,1 159.4,24.6,,
1999,June,1 171.9,26.1,,
1999,September,1 232.4,26.4,,
1999,December,1 304.7,26.3,,
2000,March,1 219.6,24.3,,
2000,June,1 263.7,27.9,,
2000,September,1 361.4,26.9,,
2000,December,1 357.7,24.6,,
2001,March,1 287.0,24.3,,
2001,June,1 312.5,25.5,,
2001,September,1 250.2,25.5,,
2001,December,1 161.8,24.8,,
2002,March,1 113.2,21.9,,
2002,June,1 077.5,24.5,,
2002,September,1 107.4,24.1,,
2002,December,1 144.7,22.9,,
2003,March,1 123.8,23.4,,
2003,June,955.9,23,,
2003,September,1 012.1,23.1,,
2003,December,1 130.5,22.2,,
2004,March,1 067.6,21.3,,
2004,June,1 118.4,23.4,,
2004,September,1 176.1,23.2,,
2004,December,1 190.1,22.6,,
2005,March,1 199.6,21.4,,
2005,June,1 164.2,23.6,,
2005,September,1 210.1,23,,
2005,December,1 365.7,21.8,,
2006,March,1 390.1,20.1,,
2006,June,1 393.6,21.5,,
2006,September,1 486.6,22.9,,
2006,December,1 518.8,22.4,,
2007,March,1 415.7,21,,
2007,June,1 415.8,23.3,,
2007,September,1 476.9,22.8,,
2007,December,1 545.7,22.1,,
2008,March,1 496.6,19.8,,
2008,June,1 550.3,23.1,,
2008,September,1 578.2,27.3,,
2008,December,1 575.8,27.5,,
2009,March,1 461.9,19,,
2009,June,1 557.0,22.2,,
2009,September,"1,650.10",21.7,,
2009,December,"1,683.40",19.6,,
2010,March,"1,660.90",17.5,,
2010,June,"1,680.90",21,,
2010,September,"1,766.40",21,,
2010,December,"1,776.70",19.1,,
2011,March,"1,756.00",18.3,,
2011,June,"1,768.50",20.2,,
2011,September,"1,844.80",21,,
2011,December,"1,851.90",21.4,,
2012,March,"1,812.40",20.1,,
2012,June,"1,827.30",21.6,,
2012,September,"1,927.80",21.1,,
2012,December,"1,979.10",20.4,,
2013,March,"1,915.90",18.2,,
2013,June,"1,950.20",21.3,,
2013,September,"2,072.60",19.9,,
2013,December,"2,088.80",18.4,,
2014,March,"1,968.20",16.2,,
2014,June,"2,038.00",18.2,,
2014,September,"2,041.00",17.6,,
2014,December,"2,074.90",16.9,,
2015,March,"2,009.50",15.7,,
2015,June,"2,017.40",18,,
2015,September,"2,105.40",17.2,,
2015,December,"2,124.50",16,,
2016,March,"2,171.60",16.1,,
2016,June,"2,114.60",18.3,,
2016,September,"2,215.30",17.7,,
2016,December,"2,274.30",17.1,,
2017,March,"2,238.30",17.5,,
2017,June,"2,197.60",16.9,,
2017,September,"2,332.80",15.7,,
2017,December,"2,356.40",16.6,,
2018,March,"2,311.30",15.3,,
2018,June,"2,312.30",18.6,,
2018,September,"2,396.00",15.9,,
2018,December,"2,399.50",16.3,,
2019,March,"2,344.00",16.1,,
